Factor,Pool,Plasmid
Nrg1,1,28
Nrg1,1,30
Nrg1,1,90
Nrg1,1,39
Nrg1,1,46
Nrg1,1,91
Nrg1,2,43
Nrg1,2,57
Nrg1,2,32
Nrg1,2,74
Nrg1,2,61
Nrg1,3,82
Nrg1,3,85
Nrg1,3,31
Nrg1,3,76
Nrg1,3,77
Nrg1,4,81
Nrg1,4,40
Nrg1,4,88
Nrg1,4,89
Nrg1,4,35
Cbf1,1,70
Cbf1,1,51
Cbf1,1,73
Cbf1,1,63
Skn7,1,31
Skn7,1,50
Skn7,1,67
Skn7,1,35
Skn7,2,37
Skn7,2,53
Skn7,2,36
Skn7,3,40
Skn7,3,55
Skn7,3,70
Ash1,1,54
Ash1,1,67
Ash1,1,34
Ash1,1,80
Ash1,2,55
Ash1,2,90
Ash1,2,76
Ash1,2,49
Mig1,1,28
Mig1,1,71
Mig1,1,46
Mig1,1,74
Mig1,1,84
Mig1,2,32
Mig1,2,85
Mig1,2,48
Mig1,2,87
Mig1,2,86
Mig1,3,57
Mig1,3,41
Mig1,3,68
Mig1,3,29
Yap2,1,49
Dot6,1,30
Dot6,1,34
Dot6,1,45
Dot6,1,33
Dot6,2,54
Dot6,2,41
Dot6,2,89
Gis1,1,28
Gis1,1,36
Gis1,1,88
Gis1,1,72
Gis1,2,40
Gis1,2,39
Gis1,2,89
Gis1,2,49
Sok2,1,28
Sok2,1,43
Sok2,1,71
Sok2,1,44
Sok2,1,35
Sok2,2,31
Sok2,2,54
Sok2,2,82
Sok2,2,45
Sok2,2,91
Sok2,3,40
Sok2,3,57
Sok2,3,41
Sok2,3,89
Mot3,1,50
Mot3,1,71
Mot3,1,39
Mot3,1,33
Mot3,2,55
Mot3,2,82
Mot3,2,48
Rgm1,1,28
Rgm1,1,32
Rgm1,1,82
Rgm1,1,89
Rgm1,1,91
Gzf3,1,31
Gzf3,1,64
Gzf3,1,58
Gzf3,1,75
Gzf3,2,54
Gzf3,2,82
Gzf3,2,70
Gzf3,2,80
Gzf3,3,60
Gzf3,3,90
Gzf3,3,59
Gzf3,3,91
Stp3,1,67
Stp3,1,34
Stp3,1,56
Stp3,1,66
Stp3,1,84
Cyc8,1,28
Cyc8,1,71
Cyc8,1,40
Cyc8,1,88
Cyc8,1,39
Cyc8,1,35
Cyc8,2,43
Cyc8,2,69
Cyc8,2,31
Cyc8,2,87
Cyc8,2,68
Cyc8,2,29
Cyc8,3,90
Cyc8,3,57
Cyc8,3,32
Cyc8,3,76
Cyc8,3,41
Cyc8,3,61
Cyc8,4,85
Cyc8,4,54
Cyc8,4,44
Cyc8,4,45
Cyc8,4,48
Cyc8,4,91
Cyc8,5,82
Cyc8,5,64
Cyc8,5,36
Cyc8,5,74
Cyc8,5,46
Cyc8,5,84
Cyc8,6,81
Cyc8,6,30
Cyc8,6,89
Cyc8,6,70
Cyc8,6,77
Cyc8,6,86
Cup9,1,28
Cup9,1,52
Cup9,1,34
Cup9,1,78
Cup9,2,32
Cup9,2,57
Cup9,2,39
Cup9,2,33
Cup9,3,43
Cup9,3,90
Cup9,3,44
Cup9,3,35
Tos8,1,28
Tos8,1,43
Tos8,1,34
Tos8,1,44
Tos8,1,89
Tos8,1,33
Tos8,2,32
Tos8,2,90
Tos8,2,39
Tos8,2,78
Tos8,2,29
Tos8,2,35
Nrg2,1,28
Nrg2,1,30
Nrg2,1,90
Nrg2,1,39
Nrg2,1,46
Nrg2,1,91
Nrg2,2,43
Nrg2,2,57
Nrg2,2,32
Nrg2,2,74
Nrg2,2,61
Nrg2,3,82
Nrg2,3,85
Nrg2,3,31
Nrg2,3,76
Nrg2,3,77
Nrg2,4,81
Nrg2,4,40
Nrg2,4,88
Nrg2,4,89
Nrg2,4,35
Abf1,1,81
Abf1,1,76
Abf1,1,51
Usv1,1,28
Usv1,1,82
Usv1,1,89
Usv1,1,91
Usv1,2,30
Usv1,2,36
Usv1,2,72
Mig2,1,28
Mig2,1,71
Mig2,1,46
Mig2,1,87
Mig2,1,86
Mig2,2,32
Mig2,2,85
Mig2,2,68
Mig2,2,29
Mig2,3,57
Mig2,3,41
Mig2,3,74
Mig2,3,84
Gln3,1,60
Gln3,1,58
Gln3,1,59
Gln3,1,72
Gln3,1,75
Gln3,1,80
Rpn4,1,67
Rpn4,1,66
Yap1,1,67
Yap1,1,56
Yap1,1,49
Stp4,1,43
Stp4,1,34
Stp4,1,46
Stp4,1,66
Stp4,1,84
Stp4,2,67
Stp4,2,36
Stp4,2,56
Stp4,2,77
Stp2,1,42
Stp2,1,60
Stp2,1,36
Stp2,1,79
Stp2,2,52
Stp2,2,62
Stp2,2,46
Stp2,2,95
Stp2,3,54
Stp2,3,67
Stp2,3,66
Ste12,1,37
Ste12,1,64
Ste12,1,38
Ste12,1,47
Ste12,1,61
Ste12,1,65
Ste12,1,96
Fkh2,1,82
Fkh2,1,44
Fkh2,1,45
Fkh2,1,91
Fkh2,1,94
Fkh2,1,83
Fkh2,1,92
Fkh1,1,44
Fkh1,1,45
Fkh1,1,47
Fkh1,1,94
Fkh1,1,83
Fkh1,1,92
Hcm1,1,44
Hcm1,1,70
Hcm1,1,78
Hcm1,1,87
Hcm1,1,80
Hcm1,1,83
Met32,1,30
Met32,1,31
Tec1,1,37
Tec1,1,64
Tec1,1,38
Tec1,1,47
Tec1,1,61
Tec1,1,65
Tec1,1,96
Msn2,1,30
Msn2,1,40
Msn2,1,46
Msn2,1,66
Msn2,1,87
Msn2,1,72
Msn2,2,32
Msn2,2,69
Msn2,2,56
Msn2,2,78
Msn2,2,88
Msn2,2,86
Crz1,1,31
Crz1,1,57
Crz1,1,81
Crz1,1,48
Crz1,1,59
Crz1,2,52
Crz1,2,62
Crz1,2,36
Crz1,2,66
Crz1,2,75
Gat1,1,30
Gat1,1,60
Gat1,1,70
Gat1,1,29
Gat1,1,75
Gat1,2,31
Gat1,2,56
Gat1,2,79
Gat1,2,72
Gat1,2,80
Ino2,1,70
Ino2,1,79
Ino2,1,72
Rsf2,1,28
Rsf2,1,40
Rsf2,1,36
Rsf2,1,88
Rsf2,1,35
Rsf2,1,86
Rsf2,2,30
Rsf2,2,62
Rsf2,2,87
Rsf2,2,88
Rsf2,2,72
Rsf2,3,32
Rsf2,3,69
Rsf2,3,87
Rsf2,3,29
Rsf2,3,86
Bas1,1,74
Bas1,1,63
Ace2,1,31
Ace2,1,40
Ace2,1,45
Ace2,1,73
Ace2,1,94
Ace2,2,37
Ace2,2,44
Ace2,2,48
Ace2,2,77
Ace2,2,92
Adr1,1,30
Adr1,1,62
Adr1,1,36
Adr1,1,87
Adr1,1,29
Adr1,1,86
Adr1,2,32
Adr1,2,69
Adr1,2,56
Adr1,2,88
Adr1,2,72
Aca1,1,34
Aca1,1,56
Aca1,1,29
Aca1,1,49
Sfl1,1,69
Sfl1,1,39
Sfl1,1,44
Sfl1,1,70
Sfl1,1,84
Sfl1,2,71
Sfl1,2,41
Sfl1,2,68
Sfl1,2,76
Tda9,1,30
Tda9,1,62
Tda9,1,36
Tda9,1,88
Tda9,1,72
Tda9,2,32
Tda9,2,69
Tda9,2,87
Tda9,2,29
Tda9,2,86
Phd1,1,28
Phd1,1,82
Phd1,1,52
Phd1,1,45
Phd1,1,91
Phd1,2,64
Phd1,2,43
Phd1,2,54
Phd1,2,44
Phd1,3,32
Phd1,3,71
Phd1,3,57
Phd1,3,41
Phd1,4,40
Phd1,4,31
Phd1,4,89
Phd1,4,35
Rap1,1,50
Rap1,1,81
Rap1,1,58
Hsf1,1,69
Hsf1,1,68
Cst6,1,34
Cst6,1,41
Cst6,1,29
Cst6,1,49
Yap7,1,49
Msn4,1,30
Msn4,1,40
Msn4,1,56
Msn4,1,78
Msn4,1,88
Msn4,1,86
Msn4,2,32
Msn4,2,46
Msn4,2,66
Msn4,2,87
Msn4,2,72
Dal80,1,60
Dal80,1,90
Dal80,1,70
Dal80,1,75
Dal80,1,91
Dal80,2,64
Dal80,2,58
Dal80,2,59
Dal80,2,80
Tod6,1,30
Tod6,1,34
Tod6,1,45
Tod6,1,33
Sko1,1,30
Sko1,1,54
Sko1,1,36
Sko1,1,29
Sko1,1,35
Swi5,1,31
Swi5,1,44
Swi5,1,48
Swi5,1,94
Swi5,2,40
Swi5,2,45
Swi5,2,77
Swi4,1,30
Swi4,1,53
Swi4,1,45
Swi4,1,29
Swi4,1,73
Swi4,2,50
Swi4,2,54
Swi4,2,48
Swi4,2,33
Swi4,3,52
Swi4,3,38
Swi4,3,74
Swi4,3,61
Met31,1,30
Met31,1,42
Met31,1,51
Met31,1,95
Met31,2,31
Met31,2,79
Met31,2,63
Mig3,1,28
Mig3,1,71
Mig3,1,46
Mig3,1,87
Mig3,1,86
Mig3,2,32
Mig3,2,85
Mig3,2,68
Mig3,2,29
Mig3,3,57
Mig3,3,41
Mig3,3,74
Mig3,3,84
Mbp1,1,50
Mbp1,1,64
Mbp1,1,45
Mbp1,1,66
Mbp1,1,33
Stp1,1,42
Stp1,1,55
Stp1,1,67
Stp1,1,66
Stp1,1,77
Stp1,2,52
Stp1,2,60
Stp1,2,36
Stp1,2,74
Stp1,2,95
Stp1,3,54
Stp1,3,62
Stp1,3,48
Stp1,3,79
Reb1,1,74
Reb1,1,76
Msn2OE,1,30
Msn2OE,1,40
Msn2OE,1,46
Msn2OE,1,66
Msn2OE,1,87
Msn2OE,1,72
Msn2OE,2,32
Msn2OE,2,69
Msn2OE,2,56
Msn2OE,2,78
Msn2OE,2,88
Msn2OE,2,86
Msn2DBD,1,30
Msn2DBD,1,40
Msn2DBD,1,46
Msn2DBD,1,66
Msn2DBD,1,87
Msn2DBD,1,72
Msn2DBD,2,32
Msn2DBD,2,69
Msn2DBD,2,56
Msn2DBD,2,78
Msn2DBD,2,88
Msn2DBD,2,86
Msn2DBDOE,1,30
Msn2DBDOE,1,40
Msn2DBDOE,1,46
Msn2DBDOE,1,66
Msn2DBDOE,1,87
Msn2DBDOE,1,72
Msn2DBDOE,2,32
Msn2DBDOE,2,69
Msn2DBDOE,2,56
Msn2DBDOE,2,78
Msn2DBDOE,2,88
Msn2DBDOE,2,86
Abf1,top,51
Abf1,top,76
Abf1,top,81
Aca1,top,29
Aca1,top,34
Aca1,top,49
Aca1,top,56
Adr1,top,32
Adr1,top,56
Adr1,top,62
Adr1,top,69
Adr1,top,72
Adr1,top,86
Adr1,top,87
Adr1,top,88
Cbf1,top,51
Cbf1,top,63
Cbf1,top,70
Cbf1,top,73
Crz1,top,31
Crz1,top,36
Crz1,top,48
Crz1,top,57
Crz1,top,62
Crz1,top,66
Crz1,top,75
Cup9,top,33
Cup9,top,34
Cup9,top,43
Cup9,top,52
Cup9,top,57
Cup9,top,90
Dot6,top,30
Dot6,top,33
Dot6,top,34
Dot6,top,41
Dot6,top,45
Dot6,top,54
Dot6,top,89
Fkh2,top,44
Fkh2,top,45
Fkh2,top,82
Fkh2,top,83
Fkh2,top,91
Fkh2,top,92
Fkh2,top,94
Hcm1,top,44
Hcm1,top,70
Hcm1,top,78
Hcm1,top,80
Hcm1,top,83
Hcm1,top,87
Mbp1,top,33
Mbp1,top,45
Mbp1,top,50
Mbp1,top,64
Mbp1,top,66
Met31,top,30
Met31,top,31
Met31,top,42
Met31,top,51
Met31,top,63
Met31,top,79
Met31,top,95
Mot3,top,33
Mot3,top,48
Mot3,top,50
Mot3,top,55
Mot3,top,71
Mot3,top,82
Rap1,top,50
Rap1,top,58
Rap1,top,81
Reb1,top,74
Reb1,top,76
Rgm1,top,28
Rgm1,top,32
Rgm1,top,82
Rgm1,top,89
Rgm1,top,91
Rpn4,top,66
Rpn4,top,67
Sfl1,top,39
Sfl1,top,41
Sfl1,top,44
Sfl1,top,68
Sfl1,top,69
Sfl1,top,70
Sfl1,top,71
Sfl1,top,76
Sfl1,top,84
Skn7,top,35
Skn7,top,50
Skn7,top,53
Skn7,top,55
Skn7,top,67
Skn7,top,70
Sko1,top,29
Sko1,top,30
Sko1,top,35
Sko1,top,36
Sko1,top,54
Stp1,top,42
Stp1,top,52
Stp1,top,54
Stp1,top,60
Stp1,top,62
Stp1,top,95
Stp3,top,34
Stp3,top,56
Stp3,top,66
Stp3,top,67
Stp3,top,84
Swi4,top,33
Swi4,top,38
Swi4,top,45
Swi4,top,50
Swi4,top,53
Swi4,top,54
Swi4,top,73
Swi4,top,74
Swi5,top,31
Swi5,top,40
Swi5,top,44
Swi5,top,45
Swi5,top,48
Swi5,top,77
Swi5,top,94
Tod6,top,30
Tod6,top,33
Tod6,top,34
Tod6,top,45
Tos8,top,28
Tos8,top,32
Tos8,top,33
Tos8,top,34
Tos8,top,43
Tos8,top,44
Tos8,top,90
Usv1,top,28
Usv1,top,30
Usv1,top,36
Usv1,top,72
Usv1,top,82
Usv1,top,89
Usv1,top,91
Yap1,top,49
Yap1,top,56
Yap1,top,67
Med15,top,32
Med15,top,56
Med15,top,62
Med15,top,66
Med15,top,72
Med15,top,78
Med15,top,87
Med15,top,88
Nrg2,1,57
Nrg2,1,74
Nrg2,1,76
Nrg2,1,81
Nrg2,1,89
Nrg2,1,43
Sok2,1,57
Sok2,1,89
Sok2,1,31
Sok2,1,54
Sok2,1,91
Msn2DBDOE,1,30
Msn2DBDOE,1,40
Msn2DBDOE,1,46
Msn2DBDOE,1,66
Msn2DBDOE,1,87
Msn2DBDOE,1,72
Msn2DBDOE,2,32
Msn2DBDOE,2,69
Msn2DBDOE,2,56
Msn2DBDOE,2,78
Msn2DBDOE,2,88
Msn2DBDOE,2,86
